"cargo","ciudad","link","empresa","fpublicacion"
"Cód 9664 Analista PMO en R.Metropolitana - Helpnet Ingeniería","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-cod-9664-analista-pmo-en-santiago-centro-862D2522366313D4","Helpnet Ingeniería","9 julio"
"Vendedor  Oficina de Lota  en Bíobío - Santa María de Los Ángeles Ltda.","Lota","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-oficina-de-lota--en-lota-1C6C14B62121F071","Santa María de Los Ángeles Ltda.","6 julio"
"Operario de Producción en Valparaíso - Caimi SAC","Casablanca","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-produccion-en-casablanca-7B2EFFEBD91F2D0D","Caimi SAC","2 julio"
"Supervisor de Oficina Lota  en Bíobío - Santa María de Los Ángeles Ltda.","Lota","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-oficina-lota--en-lota-E7E9341FF0818887","Santa María de Los Ángeles Ltda.","6 julio"
"Dibujante arquitectonico estructural en R.Metropolitana - René Lagos y Asociados.","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-dibujante-arquitectonico-estructural-en-santiago-las-condes-5D01BC319A6105E8","René Lagos y Asociados.","2 julio"
"CONTADOR AUDITOR  en Bíobío - Ingeniería y Construcción Eduardo Arancibia S.A.","Talcahuano","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-contador-auditor--en-talcahuano-D48EB02A361724DF","Ingeniería y Construcción Eduardo Arancibia S.A.","7 julio"
"Jefe de produccion - turno en Valparaíso - Eckart Alimentos Limitada","Casablanca","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-produccion-turno-en-casablanca-A44040A5B80739D2","Eckart Alimentos Limitada","27 julio"
"Jefe de Operaciones - V Región $1.000.000 líquidos + sueldo variable en Valparaíso - SGC Consulting","Viña del Mar","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-operaciones-v-region-1000000-liquidos-sueldo-variable-en-vina-del-mar-3B5AE09A2D674896","SGC Consulting","2 julio"
"Product Manager Junior - Empresa Retail en R.Metropolitana - Colgram","Santiago - Quinta Normal","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-product-manager-junior-empresa-retail-en-santiago-quinta-normal-001843D1CC864D0E","Colgram","2 julio"
"Operario de bodega Macul  - Turnos Rotativos  en R.Metropolitana - Atcom","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-bodega-macul--turnos-rotativos--en-santiago-providencia-4678E1F7E09AC01E","Atcom","Ayer, 11:50 am"
"Condutores de Trenes - Metro de Santiago en R.Metropolitana - People Group Consultores","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-condutores-de-trenes-metro-de-santiago-en-santiago-centro-8186FF9826568E27","People Group Consultores","Ayer, 11:50 am (actualizada)"
"Conductor Metro de Santiago en R.Metropolitana - People Group Consultores","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-conductor-metro-de-santiago-en-santiago-centro-27E3297496703C87","People Group Consultores","Ayer, 11:53 am (actualizada)"
"Técnicos Mecánicos o Mantenimiento - Metro de Santiago en R.Metropolitana - People Group Consultores","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicos-mecanicos-o-mantenimiento-metro-de-santiago-en-santiago-centro-76DAD015EFF33301","People Group Consultores","Ayer, 11:53 am (actualizada)"
"Operarios de bodega Pudahuel L-V  - Turno fijo  en R.Metropolitana - Atcom","Santiago - Pudahuel","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operarios-de-bodega-pudahuel-lv--turno-fijo--en-santiago-pudahuel-91682D691558C6FD","Atcom","Ayer, 11:53 am"
"Vigilante Trasporte de Valores  - Con o Si Experiencia  en R.Metropolitana - People Group Consultores","Santiago - Renca","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-vigilante-trasporte-de-valores--con-o-si-experiencia--en-santiago-renca-C3817C066CECF055","People Group Consultores","Ayer, 11:53 am (actualizada)"
"Vigilante privado - Transporte de valores prestigiosa empresa Con o Sin Experiencia en R.Metropolitana - People Group Consultores","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-vigilante-privado-transporte-de-valores-prestigiosa-empresa-con-o-sin-experiencia-en-santiago-centro-C6D7F38B91080BEB","People Group Consultores","Ayer, 11:54 am (actualizada)"
